Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,13076,41.0,41,,,,,,
,,,,,13132,56.0,56,,,,,,
,,,,,13176,44.0,44,,,,,,
,,,,,13285,109.0,109,,,,,,
,,,,,13369,84.0,84,,,,,,
,,,,,13387,18.0,18,,,,,,
,,,,,13407,20.0,20,,,,,,
,,,,,13447,40.0,40,,,,,,
,,,,,13567,120.0,120,,,,,,
,,,,,13579,12.0,12,,,,,,
,,,,,13637,58.0,58,,,,,,
,,,,,13663,26.0,26,,,,,,
,,,,,13698,35.0,35,,,,,,
,,,,,13746,48.0,48,,,,,,
,,,,,13761,15.0,15,,,,,,
,,,,,13822,61.0,61,,,,,,
,,,,,13902,80.0,80,,,,,,
,,,,,13921,19.0,19,,,,,,
,,,,,13978,57.0,57,,,,,,
,,,,,13996,18.0,18,,,,,,
,,,,,14000,,,0.09611093252897263,11.397772789001465,11.437445640563965,1.7604119777679443,0.58,0.0005
,,,,,14081,85.0,85,,,,,,
,,,,,14092,11.0,11,,,,,,
,,,,,14192,100.0,100,,,,,,
,,,,,14228,36.0,36,,,,,,
,,,,,14267,39.0,39,,,,,,
,,,,,14290,23.0,23,,,,,,
,,,,,14307,17.0,17,,,,,,
,,,,,14337,30.0,30,,,,,,
,,,,,14417,80.0,80,,,,,,
,,,,,14441,24.0,24,,,,,,
,,,,,14483,42.0,42,,,,,,
,,,,,14517,34.0,34,,,,,,
,,,,,14549,32.0,32,,,,,,
,,,,,14578,29.0,29,,,,,,
,,,,,14601,23.0,23,,,,,,
,,,,,14634,33.0,33,,,,,,
,,,,,14724,90.0,90,,,,,,
,,,,,14751,27.0,27,,,,,,
,,,,,14789,38.0,38,,,,,,
,,,,,14814,25.0,25,,,,,,
,,,,,14835,21.0,21,,,,,,
,,,,,14867,32.0,32,,,,,,
,,,,,14881,14.0,14,,,,,,
,,,,,14892,11.0,11,,,,,,
,,,,,14907,15.0,15,,,,,,
,,,,,14939,32.0,32,,,,,,
245.2,44.77008,335.0,169.0,245.2,15000,,,0.6322969198226929,12.008657455444336,11.961569786071777,5.533229827880859,0.55,0.0005
,,,,,15054,115.0,115,,,,,,
,,,,,15068,14.0,14,,,,,,
,,,,,15095,27.0,27,,,,,,
,,,,,15108,13.0,13,,,,,,
,,,,,15163,55.0,55,,,,,,
,,,,,15211,48.0,48,,,,,,
,,,,,15236,25.0,25,,,,,,
,,,,,15247,11.0,11,,,,,,
,,,,,15264,17.0,17,,,,,,
,,,,,15290,26.0,26,,,,,,
,,,,,15343,53.0,53,,,,,,
,,,,,15441,98.0,98,,,,,,
,,,,,15455,14.0,14,,,,,,
,,,,,15496,41.0,41,,,,,,
,,,,,15510,14.0,14,,,,,,
,,,,,15540,30.0,30,,,,,,
,,,,,15569,29.0,29,,,,,,
,,,,,15583,14.0,14,,,,,,
,,,,,15606,23.0,23,,,,,,
,,,,,15618,12.0,12,,,,,,
,,,,,15696,78.0,78,,,,,,
,,,,,15725,29.0,29,,,,,,
,,,,,15810,85.0,85,,,,,,
,,,,,15840,30.0,30,,,,,,
,,,,,15857,17.0,17,,,,,,
,,,,,15934,77.0,77,,,,,,
,,,,,15947,13.0,13,,,,,,
,,,,,15978,31.0,31,,,,,,
,,,,,16000,,,0.02728039026260376,13.090964317321777,13.127044677734375,1.4352916479110718,0.52,0.0005
,,,,,16015,37.0,37,,,,,,
,,,,,16032,17.0,17,,,,,,
,,,,,16113,81.0,81,,,,,,
,,,,,16223,110.0,110,,,,,,
,,,,,16254,31.0,31,,,,,,
,,,,,16343,89.0,89,,,,,,
,,,,,16374,31.0,31,,,,,,
,,,,,16451,77.0,77,,,,,,
,,,,,16547,96.0,96,,,,,,
,,,,,16636,89.0,89,,,,,,
,,,,,16662,26.0,26,,,,,,
,,,,,16741,79.0,79,,,,,,
