Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3640,3.0,3,,,,,,,,
,,,,,3647,7.0,7,,,,,,,,
,,,,,3654,7.0,7,,,,,,,,
,,,,,3663,9.0,9,,,,,,,,
,,,,,3669,6.0,6,,,,,,,,
,,,,,3673,4.0,4,,,,,,,,
,,,,,3677,4.0,4,,,,,,,,
,,,,,3683,6.0,6,,,,,,,,
,,,,,3688,5.0,5,,,,,,,,
,,,,,3694,6.0,6,,,,,,,,
,,,,,3698,4.0,4,,,,,,,,
,,,,,3702,4.0,4,,,,,,,,
,,,,,3708,6.0,6,,,,,,,,
,,,,,3711,3.0,3,,,,,,,,
,,,,,3714,3.0,3,,,,,,,,
,,,,,3728,14.0,14,,,,,,,,
,,,,,3733,5.0,5,,,,,,,,
,,,,,3740,7.0,7,,,,,,,,
,,,,,3752,12.0,12,,,,,,,,
,,,,,3759,7.0,7,,,,,,,,
,,,,,3768,9.0,9,,,,,,,,
,,,,,3774,6.0,6,,,,,,,,
,,,,,3780,6.0,6,,,,,,,,
,,,,,3783,3.0,3,,,,,,,,
,,,,,3788,5.0,5,,,,,,,,
,,,,,3799,11.0,11,,,,,,,,
,,,,,3805,6.0,6,,,,,,,,
,,,,,3814,9.0,9,,,,,,,,
,,,,,3820,6.0,6,,,,,,,,
,,,,,3826,6.0,6,,,,,,,,
,,,,,3847,21.0,21,,,,,,,,
,,,,,3854,7.0,7,,,,,,,,
,,,,,3860,6.0,6,,,,,,,,
,,,,,3863,3.0,3,,,,,,,,
,,,,,3874,11.0,11,,,,,,,,
,,,,,3879,5.0,5,,,,,,,,
,,,,,3885,6.0,6,,,,,,,,
,,,,,3890,5.0,5,,,,,,,,
,,,,,3896,6.0,6,,,,,,,,
,,,,,3907,11.0,11,,,,,,,,
,,,,,3910,3.0,3,,,,,,,,
,,,,,3915,5.0,5,,,,,,,,
,,,,,3922,7.0,7,,,,,,,,
,,,,,3927,5.0,5,,,,,,,,
,,,,,3932,5.0,5,,,,,,,,
,,,,,3943,11.0,11,,,,,,,,
,,,,,3957,14.0,14,,,,,,,,
,,,,,3965,8.0,8,,,,,,,,
,,,,,3974,9.0,9,,,,,,,,
,,,,,3983,9.0,9,,,,,,,,
,,,,,3988,5.0,5,,,,,,,,
,,,,,3992,4.0,4,,,,,,,,
,,,,,3997,5.0,5,,,,,,,,
,,,,,4003,6.0,6,,,,,,,,
,,,,,4014,11.0,11,,,,,,,,
,,,,,4019,5.0,5,,,,,,,,
,,,,,4023,4.0,4,,,,,,,,
,,,,,4040,17.0,17,,,,,,,,
,,,,,4043,3.0,3,,,,,,,,
,,,,,4048,5.0,5,,,,,,,,
,,,,,4061,13.0,13,,,,,,,,
,,,,,4074,13.0,13,,,,,,,,
,,,,,4094,20.0,20,,,,,,,,
,,,,,4101,7.0,7,,,,,,,,
,,,,,4104,3.0,3,,,,,,,,
,,,,,4113,9.0,9,,,,,,,,
