Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
2739.2605,714.52356,3136.9497,1126.4581,1000.0,90000,,,-201.66014099121094,-5.460280418395996,1.171879529953003,200.5318603515625,200.54879760742188,0.026259584352374077,-1.021462321281433,0.0003,0.0003,0.026260390877723694
,,,,,90999,1747.1079,1000,,,,,,,,,,
,,,,,91000,,,-208.3563995361328,-6.2169318199157715,1.2747712135314941,207.42625427246094,207.40895080566406,0.026647502556443214,0.11515175551176071,0.0003,0.0003,0.02664836123585701
,,,,,91999,3046.8245,1000,,,,,,,,,,
,,,,,92000,,,-210.63272094726562,-6.317258834838867,0.7038559913635254,209.748779296875,209.68751525878906,0.026866184547543526,-0.44574934244155884,0.0003,0.0003,0.026864590123295784
,,,,,92999,3077.3406,1000,,,,,,,,,,
,,,,,93000,,,-201.8323211669922,-5.911178112030029,0.8317404985427856,200.8966064453125,200.78192138671875,0.027007492259144783,-0.5286605358123779,0.0003,0.0003,0.02700757049024105
,,,,,93999,3062.3438,1000,,,,,,,,,,
,,,,,94000,,,-212.2145233154297,-5.876552581787109,0.6320850849151611,211.21372985839844,211.13906860351562,0.027031399309635162,-0.22143009305000305,0.0003,0.0003,0.02703162468969822
,,,,,94999,3155.0566,1000,,,,,,,,,,
2461.4575,857.5948,3131.4788,828.17456,1000.0,95000,,,-209.1135711669922,-6.082178115844727,0.6034225225448608,208.1773681640625,208.15322875976562,0.02767912857234478,-0.7842438220977783,0.0003,0.0003,0.027676455676555634
,,,,,95999,3028.3022,1000,,,,,,,,,,
,,,,,96000,,,-212.79727172851562,-6.092787742614746,0.7266360521316528,211.86314392089844,211.99842834472656,0.027868643403053284,0.019941478967666626,0.0003,0.0003,0.0278688482940197
,,,,,96999,3111.516,1000,,,,,,,,,,
